FARM_DIRY_SNO,FMHS_SNO,WRT_DT,FMHS_CODE,FMHS_ADDR,GRDV_STA_CODE,GRDV_STA_NM,FMWK_CODE,FMWK_NM,ACCM_NM,FMWK_MEMO,FTLZ_NM,SCFD_SNO,SCFD_NM,SMT_QY,ETL_LDG_DT
738399,4240,20201006,F144010,강흥동 131-17,10,양호,4209,채화작업,,,복합비료,,,,20201223112426
738462,4243,20201030,F144013,산정동 181-5,10,양호,4209,채화작업,,,복합비료,,,,20201223112426
738476,4245,20201003,F144015,고랑동 602-9,10,양호,4201,가지치기,,,복합비료,,,,20201223112426
738535,4247,20201001,F144017,구덕리 0527-0075,10,양호,4201,가지치기,,,복합비료,,,,20201223112426
738549,2978,20201005,F125032,대평리 1277-2,10,양호,1010,런너분리,,,복합비료,,,,20201223112426
738974,2989,20201002,F125043,동산리 193-1,10,양호,1091,농약살포,,,복합비료,,,,20201223112426
738994,2991,20201007,F125045,신리 517-2,10,양호,1010,런너분리,,,복합비료,,,,20201223112426
739009,2993,20201005,F125047,동산리 229-2,10,양호,1008,멀칭 피복,,,복합비료,,,,20201223112426
739255,3019,20201002,F125073,월봉리 12-1,10,양호,1091,농약살포,,,복합비료,,,,20201223112426
743643,50,20201017,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 가리비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,391,농약살포,,,무기질 질소비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,391,농약살포,,,무기질 질소비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 질소비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 질소비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 질소비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,391,농약살포,,,무기질 인산비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,391,농약살포,,,무기질 인산비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 인산비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 인산비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 인산비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,391,농약살포,,,무기질 가리비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,391,농약살포,,,무기질 가리비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 가리비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 가리비료,,,,20201223112426
743657,50,20201020,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 가리비료,,,,20201223112426
743661,50,20201021,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 질소비료,,,,20201223112426
743661,50,20201021,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 인산비료,,,,20201223112426
743661,50,20201021,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 가리비료,,,,20201223112426
743669,50,20201024,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 질소비료,,,,20201223112426
743669,50,20201024,F065001,금강로 1719-46,10,양호,900,기타작업,,,무기질 인산비료,,,,20201223112426
