NTN_CODE,YR_INFO_CN,BASE_MM,BSIS_IVTY_QY,PDTN_QY,IMPT_QY,EPOT_QY,CSP_QY,TMED_IVTY_QY,DMTC_CSP_QY,SPLY_QY,PDLT_CODE,PDLT_NM,MDFCN_YMD,ETL_LDG_DT
248,2015/16,08,115.03,471.87,38.27,40.45,471.09,115.81,0,0,0101,½Ò,20170814,20210419165432
221,2015/16,08,1.55,6.13,0.77,3.4,3.58,1.48,0,0,0101,½Ò,20170814,20210419165432
100,2015/16,08,17.8,104.41,0,10.24,93.57,18.4,0,0,0101,½Ò,20170814,20210419165432
170,2015/16,08,1.21,6.8,0.01,4.3,2.8,0.92,0,0,0101,½Ò,20170814,20210419165432
206,2015/16,08,11.27,15.8,0.3,9.87,9.1,8.4,0,0,0101,½Ò,20170814,20210419165432
229,2015/16,08,1.26,27.58,0.3,5.09,22.6,1.46,0,0,0101,½Ò,20170814,20210419165432
029,2015/16,08,0.64,7.21,0.9,0.55,7.9,0.31,0,0,0101,½Ò,20170814,20210419165432
247,2015/16,08,1.15,2.05,1.8,0.27,3.55,1.18,0,0,0101,½Ò,20170814,20210419165432
097,2015/16,08,4.11,36.2,1,0,37.8,3.51,0,0,0101,½Ò,20170814,20210419165432
169,2015/16,08,2.21,11,1.6,0,13,1.81,0,0,0101,½Ò,20170814,20210419165432
046,2015/16,08,57.44,145.77,4.8,0.27,144,63.74,0,0,0101,½Ò,20170814,20210419165432
062,2015/16,08,0.92,4,0.1,0.2,3.9,0.92,0,0,0101,½Ò,20170814,20210419165432
108,2015/16,08,2.82,7.67,0.71,0.07,8.6,2.53,0,0,0101,½Ò,20170814,20210419165432
149,2015/16,08,0.17,0.16,0.69,0,0.89,0.13,0,0,0101,½Ò,20170814,20210419165432
116,2015/16,08,1.41,4.33,0.31,0,4.21,1.83,0,0,0101,½Ò,20170814,20210419165432
248,2016/17,08,115.81,483.92,38.95,43.08,480.34,119.39,0,0,0101,½Ò,20170814,20210419165432
221,2016/17,08,1.48,7.12,0.74,3.68,4.19,1.46,0,0,0101,½Ò,20170814,20210419165432
100,2016/17,08,18.4,108,0,10.6,96.5,19.3,0,0,0101,½Ò,20170814,20210419165432
170,2016/17,08,0.92,6.8,0.01,4,2.9,0.83,0,0,0101,½Ò,20170814,20210419165432
206,2016/17,08,8.4,19.2,0.25,10,11,6.85,0,0,0101,½Ò,20170814,20210419165432
229,2016/17,08,1.46,27.97,0.3,6,22.5,1.23,0,0,0101,½Ò,20170814,20210419165432
029,2016/17,08,0.31,8.38,0.55,0.75,7.93,0.56,0,0,0101,½Ò,20170814,20210419165432
247,2016/17,08,1.18,2.07,1.85,0.28,3.65,1.17,0,0,0101,½Ò,20170814,20210419165432
097,2016/17,08,3.51,37.15,0.5,0.02,37.6,3.54,0,0,0101,½Ò,20170814,20210419165432
