"자치구 코드","자치구명","전통시장명","주소명","위도","경도"
"22","은평구","갈현시장","갈현동 424-16","37.6235874","126.9173853"
"12","동작구","강남시장","상도동 488","37.5187486","127.0206399"
"1","강남구","강남시장","신사동510-11","37.4967455","126.9534877"
"1","강남구","강남역 지하도상가","역삼동821-1","37.4985945","127.028026"
"15","서초구","강남터미널지하도상점가1구역","서초구 반포동 163","37.5004776","126.98606"
"15","서초구","강남터미널지하도상점가2구역","서초구 반포동 163-1","37.5004776","126.98606"
"15","서초구","강남터미널지하도상점가3구역","서초구 반포동 225","37.5004776","126.98606"
"3","강북구","강북종합골목시장","수유3동 177번지 일대","37.6405676","127.0270519"
"3","강북구","강북종합시장","수유3동 179-5","37.6420367","127.0256339"
"7","구로구","개봉중앙시장","개봉2동 324-1","37.4916649","126.8538838"
"7","구로구","개봉프라자","고척동 269-1","37.5020179","126.851172"
"1","강남구","개포2동 중심상가","개포동 186-17","37.4892459","127.0687911"
"11","동대문구","경동광성상가","제기동 849","37.5792906","127.0403356"
"11","동대문구","경동시장","제기동 1018","37.5789124","127.0395422"
"19","양천구","경창시장","양천구 신월동 447-8","37.524924","126.8420896"
"2","강동구","고덕전통시장","고덕동 210-3 ","37.5575868","127.1689177"
"15","서초구","고속터미널 지하철역 상점가 ","반포동 19-34","37.5043058","127.0034897"
"7","구로구","고척근린시장","고척동 257-12","37.5024044","126.8505061"
"7","구로구","고척프라자","고척동 50-48","37.5037884","126.8627751"
"13","마포구","공덕시장","마포구 공덕동 256-10","37.5447975","126.9533474"
"9","노원구","공릉동 도깨비시장","공릉동 561-35","37.6228878","127.0772403"
"1","강남구","공무원연금매장 상록스토아 개포점","강남구 일원동 613","37.4893496","127.0746324"
"4","강서구","공항시장","방화동 620-17","37.5630013","126.8091012"
"5","관악구","관악신사시장(신림4동)","신사동 494-7","37.4862908","126.9169544"
"5","관악구","관악종합시장","신원동 1602-1","37.4816266","126.9279347"
"6","광진구","광성시장","광진구 중곡동 229-15","37.5635761","127.0811132"
"23","종로구","광장골목시장","예지동 293-1","37.569375","126.9996711"
"23","종로구","광장시장","예지동 6-1","37.5700187","126.9988849"
"24","중구","광희시장","신당동 777","37.5686346","127.0118902"
"7","구로구","구로시장","구로동  736-1","37.4885348","126.885264"
"6","광진구","구의시장","광진구 구의동 66-25","37.5456437","127.0885052"
"2","강동구","굽은다리골목시장","천호동 397-99 일대","37.5422736","127.1317846"
"16","성동구","금남시장","금호동3가 326","37.5484311","127.0226864"
"23","종로구","금천교시장","종로구 내자동 1","37.576508","126.9722519"
"2","강동구","길동골목시장","길동 397-3 일대","37.5370752","127.142803"
"17","성북구","길음시장","길음동 535-8 540-2","37.6027133","127.0217304"
"4","강서구","까치산시장","강서구 화곡8동 342-16","37.5315268","126.8478653"
"11","동대문구","깡통시장(제기상가번영회)","제기동 289 ~ 740","37.5864845","127.0413661"
"5","관악구","낙성대 시장(봉천7동)","낙성대동 1612일대","37.4794447","126.9556689"
"23","종로구","낙원상가","낙원동 284-6","37.572557","126.9877725"
"23","종로구","낙원지하시장(대일상가)","낙원동 284-6","37.572557","126.9877725"
"7","구로구","남구로시장(구 구로자율시장)","구로동 730-27","37.4904813","126.885048"
"24","중구","남대문로 지하상가","남대문로4가 18-2","37.5603813","126.9771774"
"24","중구","남대문시장","남창동 49","37.5593733","126.9779334"
"8","금천구","남문시장","독산동 984-10","37.4736825","126.9003838"
"4","강서구","남부골목시장","강서구 화곡동 802-19","37.5331434","126.8606463"
"15","서초구","남부종합시장","방배본동 767-1","37.4949197","126.9848698"
"4","강서구","남부화곡시장","화곡동 830-1","37.5330664","126.8589885"
"20","영등포구","남서울상가","영등포동5가 1617","37.5203995","126.907259"
"24","중구","남평화시장","신당동 772","37.5691652","127.0108808"
"6","광진구","노룬산골목시장","자양동 44-12","37.5366074","127.0645873"
"6","광진구","노룬산시장","광진구 자양동 44-2","37.5365127","127.0648112"
"22","은평구","녹번시장","응암동 74-7","37.6005716","126.9304813"
"1","강남구","논현종합시장","논현동227-4","37.5099997","127.034741"
"6","광진구","능동로골목시장","자양동 553-219","37.5351556","127.0666416"
"11","동대문구","답십리시장","답십리동 66-39","37.5731833","127.0580326"
"11","동대문구","답십리현대시장","답십리동 14-11","37.566736","127.0593193"
"22","은평구","대림골목시장","응암동 602   주변골목","37.5879032","126.917496"
"22","은평구","대림시장","응암동 754-1","37.5867628","126.9176104"
"20","영등포구","대림시장","대림동963-5","37.491372","126.9076634"
"20","영등포구","대림중앙시장","대림2동 1075","37.4920588","126.8982724"
"8","금천구","대명시장","시흥동 884-5","37.4542598","126.9017753"
"8","금천구","대명시장 및 주변상점가","시흥동 885","37.4540439","126.9018479"
"20","영등포구","대신시장","신길동 116-15","37.5110632","126.9176563"
"4","강서구","대원종합시장","화곡동 1023","37.544428","126.8364651"
"22","은평구","대조시장","대조동 26-14 주변골목","37.6090649","126.9263462"
"20","영등포구","도림시장","도림동 176","37.509963","126.8983395"
"16","성동구","도선동상점가","도선동 164","37.5638393","127.0343287"
"13","마포구","도화동 상점가","도화동 179-5","37.5408692","126.9491234"
"17","성북구","돈암제일시장","동소문동5가 59-21 일대","37.5914404","127.0159054"
"20","영등포구","동남상가","영등포동5가24","37.5205835","126.9056278"
"23","종로구","동대문문구완구종합시장","창신동 390-29","37.5712054","127.0144176"
"23","종로구","동대문상가A동","창신동 436-79","37.5700505","127.0106149"
"23","종로구","동대문상가B동","창신동 436-78","37.5700532","127.0119234"
"23","종로구","동대문상가C동","창신동 436-65","37.5700841","127.0133263"
"23","종로구","동대문종합시장","종로6가 289-42","37.5701556","127.0081731"
"23","종로구","동대문종합시장D동상가","종로6가 270-3","37.5706402","127.007323"
"23","종로구","동대문지하쇼핑센터","종로구 종로6가 382-1","37.57195","127.004975"
"23","종로구","동문시장","창신동 437","37.5705927","127.0112654"
"25","중랑구","동부골목시장","상봉동 130-161","37.5924445","127.0762912"
"11","동대문구","동부시장","답십리동 495-1","37.5676132","127.0522792"
"11","동대문구","동부청과시장","용두동 39-1","37.5773617","127.0428693"
"3","강북구","동북시장","미아1동 701-3","37.62022","127.0187554"
"11","동대문구","동서시장","제기동 650","37.5797731","127.0414772"
"2","강동구","동서울시장","천호동 422-1","37.5421572","127.1281902"
"25","중랑구","동성타워프라자","신내동 786","37.6080721","127.0972863"
"17","성북구","동소문 스카이상가","돈암동 606일대","37.5972608","127.0104807"
"25","중랑구","동원골목시장","면목동 103-1","37.5897144","127.0913791"
"25","중랑구","동원시장","면목동 101-1","37.5898175","127.0898538"
"13","마포구","동진시장","연남동 227-1538","37.5623664","126.9266965"
"24","중구","동평화시장","신당동 217-92","37.5694433","127.0139147"
"24","중구","동화시장","을지로6가 17-145","37.5693599","127.0071031"
"20","영등포구","두암시장","대림3동717","37.4952797","126.8980517"
"2","강동구","둔촌역전통시장","성내동 428-9 일대","37.527463","127.1351083"
"4","강서구","등마루시장","등촌동 637-10","37.5566273","126.8601515"
"16","성동구","뚝도시장","성수동2가 335","37.5388169","127.0544709"
"2","강동구","로데오거리상점가","천호동 454-50 일대","37.5383225","127.1266431"
"20","영등포구","로타리상가","영등포동5가 20","37.5203178","126.905811"
"16","성동구","마장축산물시장","마장동 510-3","37.5697265","127.0383804"
