BASE_YR,BASE_MM,AGFD_PDLT_NM,PDTN_QY
2020,01,가지,393028
2020,01,감,259908
2020,01,감귤,375517
2020,01,감자,786997
2020,01,갓,743
2020,01,건가지,2239
2020,01,건취나물,3282
2020,01,고구마,1338848
2020,01,고구마순,2828
2020,01,고사리,18501
2020,01,고추,342986
2020,01,곶감,22665
2020,01,근대,88007
2020,01,기장,413
2020,01,깐마늘,296862
2020,01,깐양파,87535
2020,01,깻잎,50433
2020,01,냉이,10772
2020,01,늙은호박,93753
2020,01,다발무,1087007
2020,01,단감,640365
2020,01,단호박,21377
2020,01,달래,14420
2020,01,당근,973428
2020,01,대추,49448
2020,01,대파,1384020
2020,01,더덕,5365
2020,01,도라지,30345
2020,01,돈나물,5539
2020,01,돌나물,7808
2020,01,두릅,22778
2020,01,따리,105345
2020,01,딸기,665615
2020,01,레몬,8361
2020,01,마,29254
2020,01,마늘,542697
2020,01,마늘 쫑,30945
2020,01,매실,3810
2020,01,메론,837187
2020,01,모둠쌈,9067
2020,01,무,1396876
2020,01,무화과,1056143
2020,01,물미역(청과),17252
2020,01,미나리,38032
2020,01,바나나,53955
2020,01,바나나 국산,317
2020,01,밤,228723
2020,01,방울양배추,600
2020,01,배,1050187
2020,01,배추,3652007
2020,01,배추얼갈이,45318
2020,01,버섯,1738067
2020,01,보리,472
2020,01,복수박,177128
2020,01,복숭아,291859
2020,01,부추,76394
2020,01,브로코리,168603
2020,01,브로콜리,50881
2020,01,블루베리,14824
2020,01,비트,281274
2020,01,빨간양배추,23866
2020,01,사과,2197106
2020,01,산딸기,16187
2020,01,상추,117245
2020,01,새싹채소,956
2020,01,생강,19343
2020,01,석류,8361
2020,01,세러리,535
2020,01,수박,4475753
2020,01,수입과일,802744
2020,01,숙주,69298
2020,01,시금치,478975
2020,01,신선초,535
2020,01,쌈추,10377
2020,01,쑥갓,1088
2020,01,아욱,382
2020,01,애플수박,28393
2020,01,애호박,120288
2020,01,양배추,1139959
2020,01,양상추,387455
2020,01,양파,3341525
2020,01,얼갈이,649
2020,01,연근,26795
2020,01,열무,28053
2020,01,열무 얼갈이,44104
2020,01,오렌지,8361
2020,01,오이,282664
2020,01,완두콩,40179
2020,01,인삼,2741
2020,01,잎마늘,1441
2020,01,자두,100645
2020,01,자몽,8361
2020,01,적양배추,450
2020,01,쪽파,71181
2020,01,찰옥수수,39461
2020,01,참나물,8100
2020,01,참다래 국산,83567
2020,01,참외,68352
2020,01,청경채,10965
2020,01,청양고추,27822
2020,01,체리,4390
2020,01,취나물,7845
2020,01,츄키니,11983
2020,01,케일,535
2020,01,콜라비,6115
2020,01,콩나물,558550
2020,01,토마토,1296576
2020,01,토마토(방울),574673
2020,01,파세리,32255
2020,01,파인애플,59949
2020,01,파채,48506
2020,01,파프리카,125831
2020,01,포도,863302
2020,01,풋고추,80689
2020,01,풋옥수수,18210
2020,01,피망,270
2020,01,호박,586608
2020,01,홍갓,13754
2020,01,홍고추,31
2020,02,가지,551031
2020,02,감,216829
2020,02,감귤,443167
2020,02,감자,1043196
2020,02,갓,178
2020,02,건가지,1498
2020,02,건취나물,3587
2020,02,고구마,2323429
2020,02,고구마순,2871
2020,02,고사리,13357
2020,02,고추,380349
2020,02,곶감,11179
2020,02,근대,101226
2020,02,기장,1995
2020,02,깐마늘,305917
2020,02,깐양파,151394
2020,02,깻잎,59529
2020,02,냉이,8116
2020,02,늙은호박,60993
2020,02,다발무,137145
2020,02,단감,889243
2020,02,단호박,28815
2020,02,달래,12911
2020,02,당근,1280209
2020,02,대추,47630
2020,02,대파,2029879
2020,02,더덕,2529
2020,02,도라지,20429
2020,02,돈나물,7058
2020,02,돌나물,4620
2020,02,두릅,14141
2020,02,따리,53130
2020,02,딸기,691107
2020,02,레몬,9978
2020,02,마,28293
2020,02,마늘,612290
2020,02,마늘 쫑,24031
2020,02,매실,8121
2020,02,메론,965879
2020,02,모둠쌈,57495
2020,02,무,1556123
2020,02,무화과,104238
2020,02,물미역(청과),11866
2020,02,미나리,29899
2020,02,바나나,37227
2020,02,바나나 국산,1109
2020,02,밤,190731
2020,02,방울양배추,1144
2020,02,배,707658
2020,02,배추,909267
2020,02,배추얼갈이,44252
2020,02,버섯,1651268
2020,02,보리,2280
2020,02,복수박,177733
2020,02,복숭아,327964
2020,02,부추,77864
2020,02,브로코리,204883
2020,02,브로콜리,42079
2020,02,블루베리,21182
2020,02,비트,252634
2020,02,빨간양배추,21548
2020,02,사과,2421761
2020,02,산딸기,14426
2020,02,상추,144742
2020,02,새싹채소,1010
2020,02,생강,16598
2020,02,석류,9978
2020,02,수박,6077203
2020,02,수입과일,663120
2020,02,숙주,72899
2020,02,시금치,415224
2020,02,쌈추,10724
2020,02,쑥갓,3424
2020,02,아욱,255
2020,02,애플수박,30664
2020,02,애호박,270069
2020,02,양배추,1643426
2020,02,양상추,458547
2020,02,양파,4364095
2020,02,얼갈이,511
2020,02,연근,25425
2020,02,열무,34726
2020,02,열무 얼갈이,50595
2020,02,오렌지,9978
2020,02,오이,540535
2020,02,완두콩,20858
2020,02,인삼,9378
2020,02,잎마늘,5450
2020,02,자두,121957
2020,02,자몽,9978
2020,02,적양배추,858
2020,02,쪽파,81388
2020,02,찰옥수수,35584
2020,02,참나물,7341
2020,02,참다래 국산,85525
2020,02,참외,71500
2020,02,청경채,8273
2020,02,청양고추,26736
2020,02,체리,5239
2020,02,취나물,2889
2020,02,츄키니,10260
2020,02,케일,594
2020,02,콜라비,9239
2020,02,콩나물,566751
2020,02,키위,2850
2020,02,토마토,1432805
2020,02,토마토(방울),632087
2020,02,파세리,40164
2020,02,파인애플,41363
2020,02,파채,50538
2020,02,파프리카,155026
2020,02,포도,848627
2020,02,풋고추,68273
2020,02,풋옥수수,23170
2020,02,호박,581474
2020,02,홍갓,16564
2020,03,가지,684143
2020,03,감,211489
2020,03,감귤,497659
2020,03,감자,1267091
2020,03,갓,6047
2020,03,건가지,988
2020,03,건취나물,1787
2020,03,고구마,1599026
2020,03,고구마순,1787
2020,03,고사리,8703
2020,03,고추,1234974
2020,03,곶감,9402
2020,03,근대,125724
2020,03,기장,7539
2020,03,깐마늘,323947
2020,03,깐양파,123963
2020,03,깻잎,73246
2020,03,냉이,10506
2020,03,늙은호박,82712
2020,03,다발무,221870
2020,03,단감,375314
2020,03,단호박,53079
2020,03,달래,14991
2020,03,당근,1049337
2020,03,대추,56667
2020,03,대파,1603738
2020,03,더덕,2801
2020,03,도라지,19297
2020,03,돈나물,7683
2020,03,돌나물,5695
2020,03,두릅,7749
2020,03,따리,17600
2020,03,딸기,540326
2020,03,레몬,5768
2020,03,마,5832
2020,03,마늘,584098
2020,03,마늘 쫑,6825
2020,03,매실,7344
2020,03,메론,820844
2020,03,모둠쌈,81607
2020,03,무,1508988
2020,03,무화과,18884
2020,03,물미역(청과),11531
2020,03,미나리,29578
2020,03,바나나,103363
2020,03,바나나 국산,950
2020,03,밤,192426
2020,03,방울양배추,1168
2020,03,배,765912
2020,03,배추,945686
2020,03,배추얼갈이,63437
2020,03,버섯,1763540
2020,03,보리,8616
2020,03,복수박,83758
2020,03,복숭아,362708
2020,03,부추,105512
2020,03,브로코리,161962
2020,03,브로콜리,40774
2020,03,블루베리,27290
2020,03,비트,237291
2020,03,빨간양배추,25530
2020,03,사과,3575972
2020,03,산딸기,12841
2020,03,살구,132
2020,03,상추,211457
2020,03,새싹채소,1149
2020,03,생강,50909
2020,03,석류,5768
2020,03,세러리,73
2020,03,수박,4424540
2020,03,수입과일,938396
2020,03,숙주,74842
2020,03,시금치,475151
2020,03,신선초,73
2020,03,쌈추,11301
2020,03,쑥,265500
2020,03,쑥갓,4582
2020,03,아욱,411
2020,03,애플수박,13432
2020,03,애호박,325751
2020,03,양배추,11855666
2020,03,양상추,447997
2020,03,양파,3499449
2020,03,얼갈이,5290
2020,03,연근,2425
2020,03,열무,63641
2020,03,열무 얼갈이,77654
2020,03,오렌지,5768
2020,03,오이,797099
2020,03,완두콩,30870
2020,03,인삼,9941
2020,03,잎마늘,6779
2020,03,자두,136124
2020,03,자몽,5768
2020,03,적양배추,876
2020,03,쪽파,127671
2020,03,찰옥수수,40765
2020,03,참나물,7147
2020,03,참다래 국산,106539
2020,03,참외,95266
2020,03,청경채,7446
2020,03,청양고추,29548
2020,03,체리,3028
2020,03,취나물,4023
2020,03,츄키니,1620
2020,03,케일,73
2020,03,콜라비,6712
2020,03,콩나물,634091
2020,03,키위,12255
2020,03,토마토,1484940
2020,03,토마토(방울),650892
2020,03,파세리,40471
2020,03,파인애플,114848
2020,03,파채,50022
2020,03,파프리카,92189
2020,03,포도,821766
2020,03,풋고추,115031
2020,03,풋옥수수,19330
2020,03,호박,616489
2020,03,홍갓,37161
2020,04,가지,723608
2020,04,감,252463
2020,04,감귤,372266
2020,04,감자,1066337
2020,04,갓,6492
2020,04,건가지,1036
2020,04,건고추,488
2020,04,건취나물,1569
2020,04,고구마,1510140
2020,04,고구마순,1976
2020,04,고사리,8821
2020,04,고추,729580
2020,04,곶감,8749
2020,04,근대,108975
2020,04,기장,4095
2020,04,깐마늘,326556
2020,04,깐양파,130237
2020,04,깻잎,65987
2020,04,냉이,8142
2020,04,늙은호박,97356
2020,04,다발무,96000
2020,04,단감,254335
2020,04,단호박,34155
2020,04,달래,11005
2020,04,당근,985048
2020,04,대추,47539
2020,04,대파,1063462
2020,04,더덕,4056
2020,04,도라지,17393
2020,04,돈나물,5190
2020,04,돌나물,4970
2020,04,두릅,17198
2020,04,따리,7505
2020,04,딸기,502779
2020,04,레몬,15171
2020,04,마,10106
2020,04,마늘,637745
2020,04,마늘 쫑,14474
2020,04,매실,7631
2020,04,머위,407
2020,04,메론,1077902
2020,04,모둠쌈,76620
2020,04,무,1555638
2020,04,무화과,14233
2020,04,물미역(청과),6896
2020,04,미나리,27474
2020,04,바나나,157212
2020,04,바나나 국산,2060
2020,04,밤,194912
2020,04,방울,10968
2020,04,방울양배추,872
2020,04,배,632463
2020,04,배추,782433
2020,04,배추얼갈이,63265
2020,04,버섯,1806965
2020,04,보리,4680
2020,04,복수박,49999
2020,04,복숭아,372126
2020,04,부추,105133
2020,04,브로코리,141312
2020,04,브로콜리,63277
2020,04,블루베리,315702
2020,04,비트,272811
2020,04,빨간양배추,26159
2020,04,사과,4478816
2020,04,산딸기,16347
2020,04,살구,660
2020,04,상추,209501
2020,04,새싹채소,1158
