BASE_YR,BASE_MM,AGFD_PDLT_NM,STRGE_QY
2020,01,바나나 국산,95
2020,01,밤,68617
2020,01,방울양배추,180
2020,01,배,315056
2020,01,배추,1095602
2020,01,배추얼갈이,13595
2020,01,버섯,521420
2020,01,보리,142
2020,01,복수박,53138
2020,01,복숭아,87558
2020,01,부추,22918
2020,01,브로코리,50581
2020,01,브로콜리,15264
2020,01,블루베리,4447
2020,01,비트,84382
2020,01,빨간양배추,7160
2020,01,사과,659132
2020,01,산딸기,4856
2020,01,상추,35174
2020,01,새싹채소,287
2020,01,생강,5803
2020,01,석류,2508
2020,01,세러리,161
2020,01,수박,1342726
2020,01,수입과일,240823
2020,01,숙주,20789
2020,01,시금치,143693
2020,01,신선초,161
2020,01,쌈추,3113
2020,01,쑥갓,326
2020,01,아욱,115
2020,01,애플수박,8518
2020,01,애호박,36086
2020,01,양배추,341988
2020,01,양상추,116237
2020,01,양파,1002458
2020,01,얼갈이,195
2020,01,연근,8039
2020,01,열무,8416
2020,01,열무 얼갈이,13231
2020,01,오렌지,2508
2020,01,오이,84799
2020,01,완두콩,12054
2020,01,인삼,822
2020,01,잎마늘,432
2020,01,자두,30194
2020,01,자몽,2508
2020,01,적양배추,135
2020,01,쪽파,21354
2020,01,찰옥수수,11838
2020,01,참나물,2430
2020,01,참다래 국산,25070
2020,01,참외,20506
2020,01,청경채,3290
2020,01,청양고추,8347
2020,01,체리,1317
2020,01,취나물,2354
2020,01,츄키니,3595
2020,01,케일,161
2020,01,콜라비,1835
2020,01,콩나물,167565
2020,01,토마토,388973
2020,01,토마토(방울),172402
2020,01,파세리,9677
2020,01,파인애플,17985
2020,01,파채,14552
2020,01,파프리카,37749
2020,01,포도,258991
2020,01,풋고추,24207
2020,01,풋옥수수,5463
2020,01,피망,81
2020,01,호박,175982
2020,01,홍갓,4126
2020,01,홍고추,9
2020,02,가지,165309
2020,02,감,65049
2020,02,감귤,132950
2020,02,감자,312959
2020,02,갓,53
2020,02,건가지,449
2020,02,건취나물,1076
2020,02,고구마,697029
2020,02,고구마순,861
2020,02,고사리,4007
2020,02,고추,114105
2020,02,곶감,3354
2020,02,근대,30368
2020,02,기장,599
2020,02,깐마늘,91775
2020,02,깐양파,45418
2020,02,깻잎,17859
2020,02,냉이,2435
2020,02,늙은호박,18298
2020,02,다발무,41144
2020,02,단감,266773
2020,02,단호박,8645
2020,02,달래,3873
2020,02,당근,384063
2020,02,대추,14289
2020,02,대파,608964
2020,02,더덕,759
2020,02,도라지,6129
2020,02,돈나물,2117
2020,02,돌나물,1386
2020,02,두릅,4242
2020,02,따리,15939
2020,02,딸기,207332
2020,02,레몬,2993
2020,02,마,8488
2020,02,마늘,183687
2020,02,마늘 쫑,7209
2020,02,매실,2436
2020,02,메론,289764
2020,02,모둠쌈,17249
2020,02,무,466837
2020,02,무화과,31271
2020,02,물미역(청과),3560
2020,02,미나리,8970
2020,02,바나나,11168
2020,02,바나나 국산,333
2020,02,밤,57219
2020,02,방울양배추,343
2020,02,배,212297
2020,02,배추,272780
2020,02,배추얼갈이,13276
2020,02,버섯,495380
2020,02,보리,684
2020,02,복수박,53320
2020,02,복숭아,98389
2020,02,부추,23359
2020,02,브로코리,61465
2020,02,브로콜리,12624
2020,02,블루베리,6355
2020,02,비트,75790
2020,02,빨간양배추,6464
2020,02,사과,726528
2020,02,산딸기,4328
2020,02,상추,43423
2020,02,새싹채소,303
2020,02,생강,4979
2020,02,석류,2993
2020,02,수박,1823161
2020,02,수입과일,198936
2020,02,숙주,21870
2020,02,시금치,124567
2020,02,쌈추,3217
2020,02,쑥갓,1027
2020,02,아욱,77
2020,02,애플수박,9199
2020,02,애호박,81021
2020,02,양배추,493028
2020,02,양상추,137564
2020,02,양파,1309229
2020,02,얼갈이,153
2020,02,연근,7628
2020,02,열무,10418
2020,02,열무 얼갈이,15179
2020,02,오렌지,2993
2020,02,오이,162161
2020,02,완두콩,6257
2020,02,인삼,2813
2020,02,잎마늘,1635
2020,02,자두,36587
2020,02,자몽,2993
2020,02,적양배추,257
2020,02,쪽파,24416
2020,02,찰옥수수,10675
2020,02,참나물,2202
2020,02,참다래 국산,25658
2020,02,참외,21450
2020,02,청경채,2482
2020,02,청양고추,8021
2020,02,체리,1572
2020,02,취나물,867
2020,02,츄키니,3078
2020,02,케일,178
2020,02,콜라비,2772
2020,02,콩나물,170025
2020,02,키위,855
2020,02,토마토,429842
2020,02,토마토(방울),189626
2020,02,파세리,12049
2020,02,파인애플,12409
2020,02,파채,15161
2020,02,파프리카,46508
2020,02,포도,254588
2020,02,풋고추,20482
2020,02,풋옥수수,6951
2020,02,호박,174442
2020,02,홍갓,4969
2020,03,가지,205243
2020,03,감,63447
2020,03,감귤,149298
2020,03,감자,380127
2020,03,갓,1814
2020,03,건가지,296
2020,03,건취나물,536
2020,03,고구마,479708
2020,03,고구마순,536
2020,03,고사리,2611
2020,03,고추,370492
2020,03,곶감,2821
2020,03,근대,37717
2020,03,기장,2262
2020,03,깐마늘,97184
2020,03,깐양파,37189
2020,03,깻잎,21974
2020,03,냉이,3152
2020,03,늙은호박,24814
2020,03,다발무,66561
2020,03,단감,112594
2020,03,단호박,15924
2020,03,달래,4497
2020,03,당근,314801
2020,03,대추,17000
2020,03,대파,481121
2020,03,더덕,840
2020,03,도라지,5789
2020,03,돈나물,2305
2020,03,돌나물,1709
2020,03,두릅,2325
2020,03,따리,5280
2020,03,딸기,162098
2020,03,레몬,1730
2020,03,마,1750
2020,03,마늘,175229
2020,03,마늘 쫑,2048
2020,03,매실,2203
2020,03,메론,246253
2020,03,모둠쌈,24482
2020,03,무,452696
2020,03,무화과,5665
2020,03,물미역(청과),3459
2020,03,미나리,8873
2020,03,바나나,31009
2020,03,바나나 국산,285
2020,03,밤,57728
2020,03,방울양배추,350
2020,03,배,229774
2020,03,배추,283706
2020,03,배추얼갈이,19031
2020,03,버섯,529062
2020,03,보리,2585
2020,03,복수박,25127
2020,03,복숭아,108812
2020,03,부추,31654
2020,03,브로코리,48589
2020,03,브로콜리,12232
2020,03,블루베리,8187
2020,03,비트,71187
2020,03,빨간양배추,7659
2020,03,사과,1072792
2020,03,산딸기,3852
2020,03,살구,40
2020,03,상추,63437
2020,03,새싹채소,345
2020,03,생강,15273
2020,03,석류,1730
2020,03,세러리,22
2020,03,수박,1327362
2020,03,수입과일,281519
2020,03,숙주,22453
2020,03,시금치,142545
2020,03,신선초,22
2020,03,쌈추,3390
2020,03,쑥,79650
2020,03,쑥갓,1375
2020,03,아욱,123
2020,03,애플수박,4030
2020,03,애호박,97725
2020,03,양배추,3556700
2020,03,양상추,134399
2020,03,양파,1049835
2020,03,얼갈이,1587
2020,03,연근,728
2020,03,열무,19092
2020,03,열무 얼갈이,23296
2020,03,오렌지,1730
2020,03,오이,239130
2020,03,완두콩,9261
2020,03,인삼,2982
2020,03,잎마늘,2034
2020,03,자두,40837
2020,03,자몽,1730
2020,03,적양배추,263
2020,03,쪽파,38301
2020,03,찰옥수수,12230
